base	size	module	path
0x00007ff7760b0000	0x8205000	SC2_x64.exe	D:\StarCraft II\Versions\Base96921\SC2_x64.exe
0x00007ff942440000	0x267000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll
0x00007ff940d10000	0xc9000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL
0x00007ff93ed10000	0x3f4000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll
0x00007ff93b450000	0x9f000	apphelp.dll	C:\WINDOWS\SYSTEM32\apphelp.dll
0x00007ff8eab40000	0x6f000	AcGenral.DLL	C:\WINDOWS\SYSTEM32\AcGenral.DLL
0x00007ff9414f0000	0xa9000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll
0x00007ff9404a0000	0xa7000	sechost.dll	C:\WINDOWS\System32\sechost.dll
0x00007ff940df0000	0x66000	SHLWAPI.dll	C:\WINDOWS\System32\SHLWAPI.dll
0x00007ff93fe80000	0x14b000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll
0x00007ff93f2f0000	0x868000	Windows.Storage.dll	C:\WINDOWS\System32\Windows.Storage.dll
0x00007ff9407e0000	0x382000	combase.dll	C:\WINDOWS\System32\combase.dll
0x00007ff9418e0000	0x118000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll
0x00007ff93f240000	0xa3000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll
0x00007ff940720000	0xb6000	advapi32.dll	C:\WINDOWS\System32\advapi32.dll
0x00007ff941a00000	0x1c5000	USER32.dll	C:\WINDOWS\System32\USER32.dll
0x00007ff93fce0000	0x27000	win32u.dll	C:\WINDOWS\System32\win32u.dll
0x00007ff940b80000	0x2b000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll
0x00007ff93f110000	0x12b000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll
0x00007ff940280000	0x197000	ole32.dll	C:\WINDOWS\System32\ole32.dll
0x00007ff940f60000	0xf8000	shcore.dll	C:\WINDOWS\System32\shcore.dll
0x00007ff941c90000	0x767000	SHELL32.dll	C:\WINDOWS\System32\SHELL32.dll
0x00007ff93ffd0000	0x16a000	wintypes.dll	C:\WINDOWS\System32\wintypes.dll
0x00007ff93e060000	0x33000	USERENV.dll	C:\WINDOWS\SYSTEM32\USERENV.dll
0x00007ff92e810000	0x21000	MPR.dll	C:\WINDOWS\SYSTEM32\MPR.dll
0x00007ff93dd00000	0x49000	SspiCli.dll	C:\WINDOWS\SYSTEM32\SspiCli.dll
0x00007ff941bd0000	0x32000	IMM32.DLL	C:\WINDOWS\System32\IMM32.DLL
0x00007ff9401d0000	0x80000	WS2_32.dll	C:\WINDOWS\System32\WS2_32.dll
0x00007ff940640000	0xd8000	OLEAUT32.dll	C:\WINDOWS\System32\OLEAUT32.dll
0x00007ff93fb60000	0x177000	CRYPT32.dll	C:\WINDOWS\System32\CRYPT32.dll
0x00007ff8e62b0000	0x56000	pdh.dll	C:\WINDOWS\SYSTEM32\pdh.dll
0x000000006cbe0000	0x1b2000	icuin52.dll	D:\StarCraft II\Support64\icuin52.dll
0x000000006ca90000	0x14b000	icuuc52.dll	D:\StarCraft II\Support64\icuuc52.dll
0x00007ff912b20000	0x1b2000	d3d9.dll	C:\WINDOWS\SYSTEM32\d3d9.dll
0x00007ff8f47d0000	0x47000	d3dx11_42.dll	D:\StarCraft II\Support64\d3dx11_42.dll
0x00007ff85ff70000	0x275000	d3dx9_42.dll	D:\StarCraft II\Support64\d3dx9_42.dll
0x00007ff85f990000	0x27c000	D3DCompiler_42.dll	D:\StarCraft II\Support64\D3DCompiler_42.dll
0x00007ff8b7450000	0xff000	DDRAW.dll	C:\WINDOWS\SYSTEM32\DDRAW.dll
0x00007ff91f840000	0x293000	COMCTL32.dll	C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8115_none_3e075c82e3354f9c\COMCTL32.dll
0x00007ff93eb70000	0x5e000	POWRPROF.dll	C:\WINDOWS\SYSTEM32\POWRPROF.dll
0x00007ff8e6200000	0x21000	MSACM32.dll	C:\WINDOWS\SYSTEM32\MSACM32.dll
0x00007ff937a80000	0x36000	WINMM.dll	C:\WINDOWS\SYSTEM32\WINMM.dll
0x00007ff93b820000	0xa9000	UxTheme.dll	C:\WINDOWS\SYSTEM32\UxTheme.dll
0x00007ff93d440000	0x32000	IPHLPAPI.DLL	C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL
0x00007ff91d9d0000	0x295000	WININET.dll	C:\WINDOWS\SYSTEM32\WININET.dll
0x00007ff9376a0000	0x12d000	WINHTTP.dll	C:\WINDOWS\SYSTEM32\WINHTTP.dll
0x00007ff8a1990000	0x94000	DSOUND.dll	C:\WINDOWS\SYSTEM32\DSOUND.dll
0x00007ff93b970000	0x2f000	dwmapi.dll	C:\WINDOWS\SYSTEM32\dwmapi.dll
0x00007ff936ea0000	0xb000	VERSION.dll	C:\WINDOWS\SYSTEM32\VERSION.dll
0x000000006c9b0000	0xd2000	MSVCR100.dll	D:\StarCraft II\Support64\MSVCR100.dll
0x00007ff93cf70000	0x141000	dxgi.dll	C:\WINDOWS\SYSTEM32\dxgi.dll
0x00007ff8da100000	0xa000	DCIMAN32.dll	C:\WINDOWS\SYSTEM32\DCIMAN32.dll
0x000000006c910000	0x98000	MSVCP100.dll	D:\StarCraft II\Support64\MSVCP100.dll
0x00007ff90f020000	0x37000	winmmbase.dll	C:\WINDOWS\SYSTEM32\winmmbase.dll
